nome,data_nascimento,genero,salario_bruto,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,gasto_total_gab,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_total_par,presenca_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao
MARCELO RAMOS RODRIGUES,29/08/1973,masculino,33763.0,20242.76,39354.81,57067.23,41462.69,41579.55,62349.92,61760.73,26114.33,23392.5,49853.8,213.96,,423392.27999999997,111617.27,110137.0,111465.63,108808.39,109386.03,111155.67,111295.59,109732.76,110023.99,111617.28,,,1105239.61,82,10,2,2,7,7
MARCIO LUIZ ALVINO DE SOUZA,14/06/1969,masculino,33763.0,0.65,10.41,24.07,12.54,20.48,24.95,21.49,16.96,2.96,0.0,0.0,,134.51000000000002,111659.72,109690.06,111659.72,110429.57,111392.82,109744.53,99030.68,98700.75,100771.53,101884.9,,,1064964.28,92,0,0,3,2,2
PEDRO AUGUSTO PALARETI,08/05/1963,masculino,33763.0,45002.25,41793.92,40476.1,35738.01,40011.13,27595.55,37061.8,25670.21,26876.43,47691.08,0.0,,367916.48000000004,111303.15,110591.43,108880.91,110241.85,108844.1,110633.34,111623.25,108056.54,110241.43,109098.65,,,1099514.65,58,34,4,0,0,0
MÁRCIO JERRY SARAIVA BARROSO,14/11/1966,masculino,33763.0,20971.05,47522.26,31931.29,25964.48,19440.27,14973.54,6427.26,819.03,,,,,168049.18000000002,0.0,0.0,0.0,71249.98,96777.84,101748.27,109177.73,108910.83,109376.66,111277.48,,,708518.79,63,5,3,21,14,14
MÁRCIO DA SILVEIRA LABRE,27/02/1974,masculino,33763.0,31765.87,30612.66,44672.56,38731.34,39322.53,28005.0,17658.24,14921.61,10479.54,2959.53,56.01,,259184.89,110430.7,111602.13,111624.11,110842.85,111612.93,111659.5,111035.13,111271.52,111646.42,111429.65,,,1113154.94,88,4,2,40,15,15
PEDRO DEBONI LUPION MELLO,04/06/1983,masculino,33763.0,6990.56,44793.64,46634.0,51461.51,41298.48,35147.53,27135.2,18926.03,17431.98,20830.83,0.0,,310649.76,111605.04,111605.04,111605.04,111605.04,105063.35,111605.04,111605.04,111605.04,111605.04,111605.04,,,1109508.7100000002,80,12,3,62,7,6
PEDRO LUCAS ANDRADE FERNANDES RIBEIRO,01/11/1979,masculino,33763.0,35356.92,46331.54,47765.23,40146.04,35975.34,30438.93,45067.84,23587.48,20171.86,43119.46,14176.08,,382136.72,111508.09,111508.09,111508.09,111508.09,109984.78,111508.09,111508.09,111508.09,111508.09,111508.09,,,1113557.5899999999,81,11,1,45,20,12
PEDRO OLIVEIRA CUNHA LIMA,15/08/1988,masculino,33763.0,15105.4,6552.71,19551.73,4675.93,7482.04,744.31,730.69,0.0,,,,,54842.81,102779.29,102779.29,103224.64,109682.19,109459.52,109682.19,103892.66,102779.29,102779.29,102779.29,,,1049837.65,39,4,4,0,1,1
PEDRO TORRES BRANDÃO VILELA,01/05/1985,masculino,33763.0,31328.35,40549.36,55871.88,58384.84,42801.44,30516.96,34120.1,39606.51,35100.26,33402.57,1372.72,,403054.99,111574.73,111574.73,111574.73,111157.4,111574.72,111423.47,110673.83,110454.25,111568.59,111433.97,,,1113010.42,85,7,2,43,26,21
PEDRO PAULO CARVALHO TEIXEIRA,29/06/1972,masculino,33763.0,51163.43,42918.65,43675.67,42675.89,12939.06,27396.36,30238.46,0.0,,,,,251007.52,0.0,0.0,0.0,25314.28,64406.44,81028.78,68927.62,64604.46,98824.28,81319.51,,,484425.37,63,5,5,15,12,12
